product_mrp,new_selling_price
2999.00,999.00
3499.00,1399.00
4499.00,1799.00
6790.00,2199.00
7890.00,2599.00
10591.00,5100.00
9590.00,3759.00
2499.00,1199.00
3699.00,1589.00
5690.00,2209.00
6790.00,3109.00
13500.00,6100.00
35990.00,17599.00
2499.00,11199.00
38699.00,18501.00
77990.00,37999.00
64990.00,31790.00
14999.00,6709.00
10290.00,5300.00
65998.00,31980.00
1399.00,599.00
2999.00,1590.00
3498.00,2500.00
2100.00,1399.00
2473.00,999.00
1999.00,1100.00
1399.00,799.00
1499.00,899.00
23999.00,5100.00
8999.00,1899.00
24999.00,2900.00
1197.00,559.00
1998.00,790.00
15999.00,6109.00
8790.00,4199.00
999.00,350.00
1599.00,709.00
2497.00,999.00
10290.00,3100.00
84999.00,8499.00
3599.00,1199.00
1199.00,599.00
1605.00,1399.00
1399.00,650.00
1198.00,605.00
8640.00,2100.00
1298.00,650.00
27990.00,5100.00
999.00,419.00
8995.00,3799.00
75000.00,7500.00
60000.00,6000.00
3390.00,899.00
899.00,499.00
3699.00,1579.00
650.00,325.00
599.00,360.00
1475.00,759.00
1175.00,689.00
599.00,310.00
1885.00,850.00
795.00,389.00
1175.00,689.00
699.00,350.00
699.00,350.00
999.00,559.00
699.00,349.00
699.00,349.00
450.00,249.00
3899.00,1949.00
2798.00,1399.00
3499.00,1749.00
2699.00,1349.00
2009.00,1004.00
2899.00,1449.00
1999.00,1999.00
12999.00,5499.00
1899.00,949.00
2499.00,1249.00
3099.00,1549.00
2399.00,1199.00
1799.00,899.00
2099.00,1049.00
2599.00,1299.00
2899.00,1449.00
13444.00,5799.00
9999.00,3333.00
7998.00,2666.00
13999.00,2799.00
11999.00,2999.00
9999.00,3333.00
488.00,244.00
4999.00,1666.00
6999.00,2333.00
8999.00,2999.00
8999.00,2999.00
9999.00,3333.00
7299.00,2433.00
1999.00,999.00
7898.00,2632.00
11999.00,3999.00
9999.00,3333.00
8999.00,2999.00
3099.00,1549.00
7899.00,3949.00
5898.00,2033.00
6999.00,2333.00
2499.00,1249.00
3699.00,1849.00
2999.00,1499.00
3699.00,1849.00
3999.00,1999.00
2499.00,1249.00
3999.00,1333.00
13630.00,4543.00
6790.00,2263.00
5690.00,1896.00
13500.00,4500.00
5690.00,1896.00
1949.00,974.00
6526.00,2175.00
4099.00,2049.00
5263.00,1754.00
4399.00,1466.00
4526.00,1508.00
8999.00,2333.00
1999.00,1999.00
2899.00,1449.00
3199.00,1599.00
3499.00,1749.00
2299.00,1149.00
7399.00,2466.00
7699.00,2566.00
2999.00,1499.00
22500.00,5625.00
21500.00,5375.00
9999.00,3333.00
9999.00,3333.00
8999.00,2999.00
18500.00,3700.00
17500.00,3500.00
19900.00,398.00
9900.00,2450.00
17500.00,3500.00
16999.00,3399.00
17500.00,3500.00
13500.00,2700.00
29900.00,5980.00
21500.00,4300.00
1599.00,533.00
1799.00,599.00
16999.00,3394.00
12999.00,2599.00
18500.00,3700.00
20000.00,4000.00
23000.00,4600.00
17500.00,3500.00
17500.00,3500.00
13000.00,2600.00
11999.00,2399.00
4990.00,898.00
13990.00,2799.00
32000.00,6466.00
32000.00,6466.00
11999.00,2399.00
13999.00,2799.00
29999.00,5999.00
30000.00,6000.00

